id,b1,sb1,b2,sb2,b3,sb3,b4,sb4,b5,sb5,b6,sb6
A11-For,141.6327372765,8.739618786,280.2737276479,12.8501322361,182.7290233838,8.7396720424,2737.8803301238,152.8387710734,843.3397524072,42.0464647865,324.9834938102,22.6319089758
A11-NoFor,458.6959247649,37.852605775,648.4952978056,36.9746054914,928.3479623824,41.7110667744,1707.5705329154,88.0276773768,2788.5799373041,170.9899968806,2040.4200626959,104.6956734966
A12-Alto,137.4829659319,8.2521151974,259.5771543086,14.5912771839,186.5891783567,12.4366757993,2523.8597194389,186.2991548852,1104.3346693387,85.3998858398,473.0100200401,40.4855537188
A12-Bajo,166.937007874,16.4924613486,320.8398950131,29.849281662,246.1601049869,23.9632939776,2463.2729658793,255.1473127654,1490.9186351706,139.1748317754,708.8556430446,66.6941753029
B27-Embalse,278.520258157,10.8844135029,417.3503047687,7.5084929143,230.2965220509,7.7791258933,84.8963786303,11.5384690799,39.8927931158,12.3404691987,30.3194693439,7.3454520706
B28-Iguazu,346.2427184466,24.1220464843,547.9757281553,78.825568724,373.677184466,55.7732942656,104.2742718447,27.1256518548,33.286407767,15.8316541006,22.8834951456,13.9050531926
B28-Parana,352.5148514851,27.9949125015,705.0495049505,50.2940612674,603.7722772277,44.8941287454,111.8514851485,16.7411191995,41.5643564356,8.5265059546,29.198019802,5.3288302396
,,,,,,,,,,,,
id,b1,sb1,b2,sb2,b3,sb3,b4,sb4,b5,sb5,b6,sb6
A11-For,142,18,280,26,183,18,2738,300,843,83,325,45
A11-NoFor,459,75,648,73,928,82,1708,173,2789,336,2040,206
A12-Alto,137,17,260,29,187,25,2524,366,1104,168,473,80
A12-Bajo,167,33,321,59,246,47,2463,501,1491,273,709,131
B27-Embalse,279,22,417,15,230,16,85,23,40,25,30,15
B28-Iguazu,346,48,548,155,374,110,104,54,33,32,23,28
B28-Parana,353,55,705,99,604,88,112,33,42,17,29,11
