TimeART,TemperatureC,Dew PointC,Humidity,Sea Level PressurehPa,VisibilityKm,Wind Direction,Wind SpeedKm/h,Gust SpeedKm/h,Precipitationmm,Events,Conditions,FullMetar,WindDirDegrees,DateUTC
12:00 AM,13.0,12.0,94,1020,-9999.0,NE,11.1,-,N/A,,Clear,METAR SARI 190300Z 05006KT CAVOK 13/12 Q1020,50,2013-08-19 03:00:00
1:00 AM,13.0,11.0,88,1020,-9999.0,ENE,13.0,-,N/A,,Clear,METAR SARI 190400Z 07007KT CAVOK 13/11 Q1020,70,2013-08-19 04:00:00
2:00 AM,13.0,11.0,88,1020,-9999.0,ENE,13.0,-,N/A,,Clear,METAR SARI 190500Z 07007KT CAVOK 13/11 Q1020,70,2013-08-19 05:00:00
3:00 AM,12,11,89,1019,20,ENE,11.1,,,,,AAXX 19064 87097 32970 00706 10122 20109 39872 40188 58003,70,2013-08-19 06:00:00
3:00 AM,12.0,11.0,94,1020,-9999.0,ENE,11.1,-,N/A,,Clear,METAR SARI 190600Z 07006KT CAVOK 12/11 Q1020,70,2013-08-19 06:00:00
4:00 AM,12.0,11.0,94,1020,-9999.0,ENE,13.0,-,N/A,,Clear,METAR SARI 190700Z 07007KT CAVOK 12/11 Q1020,70,2013-08-19 07:00:00
5:00 AM,13.0,11.0,88,1020,-9999.0,NE,13.0,-,N/A,,Clear,METAR SARI 190800Z 05007KT CAVOK 13/11 Q1020,50,2013-08-19 08:00:00
6:00 AM,13.0,11.0,88,1020,-9999.0,NE,14.8,-,N/A,,Clear,METAR SARI 190900Z 05008KT CAVOK 13/11 Q1020,50,2013-08-19 09:00:00
7:00 AM,12.0,11.0,94,1021,-9999.0,ENE,13.0,-,N/A,,Clear,METAR SARI 191000Z 07007KT CAVOK 12/11 Q1021,70,2013-08-19 10:00:00
8:00 AM,13.0,11.0,88,1021,-9999.0,NE,11.1,-,N/A,,Clear,METAR SARI 191100Z 05006KT CAVOK 13/11 Q1021,50,2013-08-19 11:00:00
9:00 AM,15,12,72,1020,20,NE,27.8,,,,,AAXX 19124 87097 32970 00515 10154 20119 39886 40205 53015 333 10186 20113,50,2013-08-19 12:00:00
9:00 AM,15.0,12.0,82,1022,-9999.0,NE,27.8,-,N/A,,Clear,METAR SARI 191200Z 05015KT CAVOK 15/12 Q1022,50,2013-08-19 12:00:00
10:00 AM,18.0,13.0,73,1022,-9999.0,NE,20.4,-,N/A,,Clear,METAR SARI 191300Z 05011KT CAVOK 18/13 Q1022,50,2013-08-19 13:00:00
11:00 AM,20.0,12.0,60,1022,-9999.0,NE,13.0,-,N/A,,Clear,METAR SARI 191400Z 05007KT CAVOK 20/12 Q1022,50,2013-08-19 14:00:00
12:00 PM,22.0,14.0,60,1022,-9999.0,NE,16.7,-,N/A,,Clear,METAR SARI 191500Z 05009KT CAVOK 22/14 Q1022,50,2013-08-19 15:00:00
1:00 PM,23.0,14.0,57,1021,-9999.0,NE,14.8,-,N/A,,Clear,METAR SARI 191600Z 05008KT CAVOK 23/14 Q1021,50,2013-08-19 16:00:00
2:00 PM,25.0,15.0,54,1019,-9999.0,NE,16.7,-,N/A,,Clear,METAR SARI 191700Z 05009KT CAVOK 25/15 Q1019,50,2013-08-19 17:00:00
3:00 PM,26,15,40,1017,20,NE,14.8,,,,,AAXX 19184 87097 32970 00508 10259 20151 39857 40171 57029,50,2013-08-19 18:00:00
3:00 PM,26.0,15.0,51,1018,-9999.0,NE,14.8,-,N/A,,Clear,METAR SARI 191800Z 05008KT CAVOK 26/15 Q1018,50,2013-08-19 18:00:00
4:00 PM,27.0,16.0,51,1018,-9999.0,NNE,11.1,-,N/A,,Clear,METAR SARI 191900Z 02006KT CAVOK 27/16 Q1018,20,2013-08-19 19:00:00
5:00 PM,27.0,15.0,48,1018,-9999.0,NE,9.3,-,N/A,,Clear,METAR SARI 192000Z 05005KT CAVOK 27/15 Q1018,50,2013-08-19 20:00:00
6:00 PM,25.0,17.0,61,1018,-9999.0,East,5.6,-,N/A,,Clear,METAR SARI 192100Z 09003KT CAVOK 25/17 Q1018,90,2013-08-19 21:00:00
7:00 PM,22.0,16.0,69,1018,-9999.0,East,7.4,-,N/A,,Clear,METAR SARI 192200Z 09004KT CAVOK 22/16 Q1018,90,2013-08-19 22:00:00
8:00 PM,20.0,16.0,78,1018,-9999.0,NE,9.3,-,N/A,,Clear,METAR SARI 192300Z 05005KT CAVOK 20/16 Q1018,50,2013-08-19 23:00:00
9:00 PM,19,15,71,1017,20,NE,9.3,,,,,AAXX 20004 87097 32970 00505 10194 20154 39858 40174 52008 333 10280 20154,50,2013-08-20 00:00:00
9:00 PM,19.0,15.0,78,1019,-9999.0,NE,9.3,-,N/A,,Clear,METAR SARI 200000Z 05005KT CAVOK 19/15 Q1019,50,2013-08-20 00:00:00
10:00 PM,18.0,16.0,88,1019,-9999.0,NE,9.3,-,N/A,,Clear,METAR SARI 200100Z 05005KT CAVOK 18/16 Q1019,50,2013-08-20 01:00:00
11:00 PM,16.0,14.0,88,1019,-9999.0,NE,9.3,-,N/A,,Clear,METAR SARI 200200Z 05005KT CAVOK 16/14 Q1019,50,2013-08-20 02:00:00
