Sun. Feb.  7, 2016             LANDSAT 7                 Time: 15:42
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L17849366            Path/Row: 224 / 078

L0R Reference Image: L71EDC1800189010100_HDF.160381825
Acquisition Date: Jul 06, 2000

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
224   078   07-06-2000


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

2240780001_01  -26.496953  -54.681258   228.168      -4.975     0.444    -4.977    -0.429
2240780005_01  -25.351462  -54.644891   275.198       2.123    -2.427     2.512    -2.020
2240780009_01  -26.029689  -54.611070   187.323       1.949    -3.141     2.464    -2.754
2240780011_01  -26.530339  -54.715195   235.845       3.697    -2.599     4.090    -1.916
2240780012_01  -25.512242  -54.609557   185.272      -0.122     0.420    -0.194     0.392
2240780013_01  -25.818903  -54.898986   326.403       3.684    -2.941     4.138    -2.254
2240780015_01  -25.585405  -53.941781   296.229       1.874    -1.556     2.113    -1.208
2240780016_01  -26.315634  -54.615475   213.758       1.391    -0.567     1.467    -0.317
2240780018_01  -25.253685  -55.664717   297.168       3.190    -3.669     3.781    -3.055
2240780019_01  -25.578931  -55.113151   214.481       5.973     3.185     5.327     4.175
2240780020_01  -25.302795  -54.076685   502.547      -6.033     1.849    -6.265     0.772
2240780021_01  -26.162211  -55.267110   383.476       2.945     1.300     2.674     1.792
2240780023_01  -26.423733  -54.654457   222.501      -0.560    -0.927    -0.392    -1.010
2240780024_01  -25.970314  -54.574579   207.110       0.968     0.731     0.824     0.888
2240780026_01  -26.859848  -54.278568   580.169      -1.867     4.055    -2.548     3.666
2240780029_01  -26.109536  -55.829481   174.466      -6.099     0.128    -6.020    -0.936
2240780031_01  -25.264146  -54.866385   247.276       6.238     3.341     5.561     4.375
2240780032_01  -25.450509  -54.577364   209.077      -1.913     0.952    -2.051     0.604
2240780034_01  -26.877102  -54.540722   527.147      -4.118    -5.756    -3.054    -6.381
2240780035_01  -26.586409  -54.994177   267.499      -5.677    -3.331    -5.009    -4.267
