Tue. Nov. 18, 2014             LANDSAT 5                 Time: 21:23
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L14344076            Path/Row: 228 / 079

L0R Reference Image: L51CUB1088079130100_HDF.143230316
Acquisition Date: Mar 19, 1988

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
228   079   11-13-2002


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

2280790010_01  -26.688042  -61.315914   147.937       5.620     0.133     5.511     1.102
2280790015_01  -26.994279  -61.203766   132.367      -1.945    -2.708    -1.447    -3.003
2280790017_01  -26.874601  -61.360264   142.327      -3.332     0.584    -3.382    -0.001
2280790018_01  -27.768497  -61.013154    97.062      -3.998     0.751    -4.068     0.049
2280790031_01  -27.081813  -61.563279   130.878      -0.369    -3.043     0.162    -3.060
2280790043_01  -27.096789  -60.695113   114.096      -1.958    -6.388    -0.823    -6.631
2280790049_01  -27.600987  -60.670063    97.139       3.116    -2.782     3.551    -2.203
2280790060_01  -27.575251  -61.217182   106.115       3.231     4.465     2.410     4.955
2280790061_01  -27.456079  -61.257044   111.972      -0.076     4.147    -0.792     4.071
2280790083_01  -28.084666  -61.899734   101.489       0.455    -2.358     0.855    -2.242
2280790084_01  -27.573484  -60.692821    98.315      -0.355    -0.544    -0.255    -0.597
2280790090_01  -27.985539  -62.261622   132.628      -3.970     0.018    -3.911    -0.669
2280790095_01  -27.618116  -62.050670   171.884      -0.659    -2.594    -0.200    -2.668
2280790097_01  -27.552302  -61.937598   173.672      -6.772     2.165    -7.040     0.961
2280790099_01  -27.200298  -61.425481   126.272       1.280    -1.175     1.464    -0.936
2280790101_01  -26.775091  -60.530329   116.649      -0.533    -3.537     0.087    -3.577
2280790108_01  -26.769752  -60.458063   114.300       2.274    -0.265     2.287     0.132
2280790110_01  -27.816673  -60.714797    90.256      -0.980     0.182    -0.997     0.011
2280790126_01  -27.824585  -61.112932    96.812      -1.178     5.069    -2.036     4.789
2280790137_01  -27.860776  -62.330421   172.427       0.431    -0.404     0.493    -0.323
2280790146_01  -26.750485  -60.957280   133.879      -2.077    -2.244    -1.657    -2.569
2280790149_01  -27.584984  -60.733596    96.019       0.776     0.803     0.625     0.925
2280790150_01  -27.654179  -62.283629   163.380       6.391     6.057     5.244     7.067
2280790155_01  -28.151404  -61.756073    98.819      -1.920    -6.183    -0.822    -6.419
2280790166_01  -27.090360  -61.057933   124.478       2.406     0.048     2.361     0.463
2280790167_01  -27.594934  -60.696626    96.125       1.803     0.037     1.769     0.348
2280790181_01  -27.366008  -61.200531   117.427      -2.477     6.086    -3.491     5.566
2280790184_01  -27.353848  -60.753785   103.903       5.325    -3.121     5.785    -2.154
2280790185_01  -27.803994  -60.817962    94.440       3.443    -1.644     3.675    -1.025
2280790187_01  -27.656160  -62.417441   162.028       2.082     3.629     1.423     3.932
2280790205_01  -26.728304  -60.677263   128.385      -6.298    -0.774    -6.070    -1.851
2280790211_01  -26.786331  -60.431754   115.167      -2.147     1.290    -2.339     0.901
2280790215_01  -27.838233  -60.792000    89.841       1.052     2.942     0.527     3.079
2280790216_01  -27.750380  -62.244037   162.453       3.267    -4.160     3.934    -3.530
2280790239_01  -26.802970  -60.453702   115.493       2.422     3.800     1.728     4.162
2280790240_01  -26.806399  -60.433715   115.027       0.488     3.791    -0.176     3.820
2280790244_01  -27.734163  -62.112667   169.205      -0.403    -1.048    -0.216    -1.101
2280790248_01  -27.858764  -61.137624    97.702      -4.423    -0.922    -4.196    -1.671
