Tue. Nov.  3, 2015             LANDSAT 5                 Time: 19:17
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L16826118            Path/Row: 228 / 079

L0R Reference Image: L51CUB1088095130101_HDF.153080050
Acquisition Date: Apr 04, 1988

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
228   079   11-13-2002


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

2280790010_01  -26.688042  -61.315914   147.937       8.117     0.934     7.832     2.323
2280790011_01  -26.844156  -60.742810   127.326      -6.226     3.207    -6.688     2.084
2280790013_01  -27.424214  -61.199892   111.065      -5.284     2.062    -5.560     1.118
2280790015_01  -26.994279  -61.203766   132.367      -0.164    -1.489     0.096    -1.495
2280790017_01  -26.874601  -61.360264   142.327      -2.405     0.148    -2.394    -0.270
2280790018_01  -27.768497  -61.013154    97.062       0.670    -1.347     0.892    -1.211
2280790029_01  -26.857492  -60.615167   123.614      -4.398     1.530    -4.597     0.748
2280790031_01  -27.081813  -61.563279   130.878       2.183    -1.126     2.344    -0.731
2280790043_01  -27.096789  -60.695113   114.096      -3.108    -4.237    -2.329    -4.711
2280790049_01  -27.600987  -60.670063    97.139       0.297    -3.090     0.827    -2.993
2280790054_01  -27.127107  -60.711435   115.000      -0.072    -5.523     0.884    -5.454
2280790060_01  -27.575251  -61.217182   106.115       7.363     4.552     6.465     5.754
2280790061_01  -27.456079  -61.257044   111.972       3.506     2.804     2.969     3.366
2280790073_01  -27.110783  -60.933228   119.874       0.022    -5.995     1.058    -5.901
2280790083_01  -28.084666  -61.899734   101.489       2.588    -1.420     2.793    -0.952
2280790084_01  -27.573484  -60.692821    98.315       3.621     0.332     3.509     0.952
2280790090_01  -27.985539  -62.261622   132.628      -2.269    -2.489    -1.804    -2.842
2280790095_01  -27.618116  -62.050670   171.884      -8.772    -6.541    -7.505    -7.955
2280790097_01  -27.552302  -61.937598   173.672      -1.648    -2.009    -1.276    -2.263
2280790099_01  -27.200298  -61.425481   126.272       6.931    -0.573     6.924     0.634
2280790101_01  -26.775091  -60.530329   116.649      -0.996    -1.551    -0.713    -1.700
2280790108_01  -26.769752  -60.458063   114.300       2.514    -2.254     2.866    -1.787
2280790110_01  -27.816673  -60.714797    90.256       2.462    -1.729     2.723    -1.278
2280790116_01  -27.738040  -61.353303   100.000      -1.640    -0.465    -1.535    -0.741
2280790126_01  -27.824585  -61.112932    96.812      -0.563     6.099    -1.608     5.910
2280790134_01  -27.198690  -60.652753   108.956      -0.628    -5.972     0.414    -5.992
2280790136_01  -27.809420  -60.960344    95.304      -7.466     3.170    -7.902     1.834
2280790137_01  -27.860776  -62.330421   172.427       3.099    -0.140     3.075     0.397
2280790149_01  -27.584984  -60.733596    96.019       0.867     2.247     0.465     2.363
2280790150_01  -27.654179  -62.283629   163.380       7.109     6.133     5.939     7.265
2280790155_01  -28.151404  -61.756073    98.819      -4.525    -5.161    -3.565    -5.862
2280790166_01  -27.090360  -61.057933   124.478       5.333    -1.341     5.484    -0.400
2280790167_01  -27.594934  -60.696626    96.125       4.945     1.605     4.593     2.434
2280790175_01  -27.677490  -61.845438   144.468      -8.678     3.482    -9.144     1.929
2280790181_01  -27.366008  -61.200531   117.427       0.398     5.131    -0.495     5.122
2280790184_01  -27.353848  -60.753785   103.903       1.652    -1.889     1.954    -1.575
2280790185_01  -27.803994  -60.817962    94.440       8.990     2.500     8.423     4.013
2280790186_01  -27.429399  -61.081162   112.533      -6.686    -4.127    -5.872    -5.219
2280790187_01  -27.656160  -62.417441   162.028       4.500     4.762     3.608     5.465
2280790199_01  -27.115935  -60.657811   109.990      -1.060    -0.635    -0.934    -0.809
2280790205_01  -26.728304  -60.677263   128.385      -1.029     2.534    -1.452     2.319
2280790207_01  -26.803413  -60.478430   116.155       1.046     1.860     0.708     2.013
2280790211_01  -26.786331  -60.431754   115.167       2.440     0.230     2.364     0.648
2280790215_01  -27.838233  -60.792000    89.841       2.409     4.766     1.549     5.110
2280790216_01  -27.750380  -62.244037   162.453       5.711     0.224     5.583     1.207
2280790234_01  -27.037711  -60.991412   125.000      -8.839     4.999    -9.571     3.397
2280790239_01  -26.802970  -60.453702   115.493       1.164     5.413     0.210     5.534
2280790240_01  -26.806399  -60.433715   115.027       1.977     2.064     1.590     2.375
2280790242_01  -27.044074  -60.634513   113.871      -1.460    -4.001    -0.747    -4.194
2280790243_01  -27.328783  -61.731119   160.944      -7.417    -5.026    -6.434    -6.230
2280790244_01  -27.734163  -62.112667   169.205      -0.097     0.589    -0.197     0.563
2280790248_01  -27.858764  -61.137624    97.702      -6.448    -3.122    -5.812    -4.188
