Tue. Nov.  3, 2015             LANDSAT 5                 Time: 18:03
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L16825203            Path/Row: 228 / 079

L0R Reference Image: L51CUB1088207130100_HDF.153072355
Acquisition Date: Jul 25, 1988

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
228   079   11-13-2002


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

2280790011_01  -26.844156  -60.742810   127.326      -4.475     1.304    -4.641     0.512
2280790015_01  -26.994279  -61.203766   132.367      -5.996    -4.927    -5.057    -5.888
2280790017_01  -26.874601  -61.360264   142.327       0.025    -1.947     0.360    -1.913
2280790018_01  -27.768497  -61.013154    97.062      -1.593     5.090    -2.454     4.738
2280790020_01  -27.590261  -62.056381   174.450       4.436    -6.162     5.435    -5.300
2280790023_01  -26.681917  -61.171009   141.384      -3.484    -0.502    -3.347    -1.096
2280790029_01  -26.857492  -60.615167   123.614      -5.039    -3.737    -4.328    -4.553
2280790031_01  -27.081813  -61.563279   130.878       2.663     1.310     2.398     1.749
2280790036_01  -27.650164  -60.601231    94.738      -1.713    -2.809    -1.213    -3.065
2280790043_01  -27.096789  -60.695113   114.096      -1.413    -2.342    -0.996    -2.553
2280790049_01  -27.600987  -60.670063    97.139      -1.575    -0.867    -1.412    -1.127
2280790061_01  -27.456079  -61.257044   111.972       3.680    -0.997     3.794    -0.347
2280790065_01  -27.688125  -61.152695   101.382      -7.844    -1.000    -7.558    -2.338
2280790067_01  -27.558331  -61.065558   106.659      -8.108     6.124    -9.049     4.633
2280790073_01  -27.110783  -60.933228   119.874       2.315     0.199     2.241     0.594
2280790077_01  -27.596603  -60.868881   101.605       7.457    -0.218     7.375     1.069
2280790084_01  -27.573484  -60.692821    98.315       4.123    -3.438     4.645    -2.678
2280790089_01  -27.356617  -60.707643   104.112       3.782    -3.536     4.328    -2.833
2280790090_01  -27.985539  -62.261622   132.628      -3.045    -1.768    -2.686    -2.265
2280790097_01  -27.552302  -61.937598   173.672      -7.473    -2.776    -6.874    -4.022
2280790099_01  -27.200298  -61.425481   126.272       8.263    -3.537     8.747    -2.057
2280790114_01  -27.400304  -60.903297   111.635      -4.597    -3.410    -3.946    -4.153
2280790123_01  -27.688646  -62.109384   174.625      -4.340     2.572    -4.709     1.784
2280790126_01  -27.824585  -61.112932    96.812      -0.804     3.349    -1.375     3.159
2280790131_01  -27.727225  -60.724271    93.210      -0.792     1.843    -1.108     1.678
2280790133_01  -27.382011  -61.379538   115.924      -0.069    -1.384     0.169    -1.375
2280790134_01  -27.198690  -60.652753   108.956      -2.520    -0.876    -2.340    -1.299
2280790137_01  -27.860776  -62.330421   172.427       0.814    -3.377     1.392    -3.183
2280790145_01  -27.598780  -62.363635   165.735      -2.074     6.249    -3.109     5.795
2280790146_01  -26.750485  -60.957280   133.879       5.467     0.553     5.285     1.487
2280790149_01  -27.584984  -60.733596    96.019      -0.353     0.477    -0.440     0.407
2280790150_01  -27.654179  -62.283629   163.380       5.124     3.714     4.412     4.542
2280790152_01  -27.887084  -62.233946   147.633      -1.283    -2.109    -0.893    -2.297
2280790154_01  -26.746116  -60.608752   117.495      -3.488     5.058    -4.318     4.381
2280790155_01  -28.151404  -61.756073    98.819      -0.971    -1.528    -0.692    -1.671
2280790156_01  -27.495553  -60.846847   102.433      -0.918     2.056    -1.266     1.866
2280790157_01  -27.785780  -60.664308    90.193       1.048     0.537     0.929     0.708
2280790167_01  -27.594934  -60.696626    96.125       4.635     4.007     3.865     4.745
2280790177_01  -27.745607  -60.722672    92.431       0.856     1.325     0.604     1.451
2280790179_01  -27.786700  -60.735818    94.001       2.263    -3.508     2.825    -3.068
2280790181_01  -27.366008  -61.200531   117.427      -2.001     3.688    -2.610     3.287
2280790184_01  -27.353848  -60.753785   103.903       4.303    -2.544     4.670    -1.766
2280790185_01  -27.803994  -60.817962    94.440       6.695     3.444     5.992     4.545
2280790187_01  -27.656160  -62.417441   162.028       4.195     2.833     3.651     3.514
2280790198_01  -27.469500  -60.723824   101.236      -3.875    -1.360    -3.592    -2.009
2280790199_01  -27.115935  -60.657811   109.990       6.367     2.493     5.833     3.552
2280790205_01  -26.728304  -60.677263   128.385      -1.990     1.015    -2.143     0.655
2280790207_01  -26.803413  -60.478430   116.155       1.701     2.043     1.313     2.304
2280790210_01  -27.391730  -62.229196   171.924       6.549     6.925     5.262     7.949
2280790211_01  -26.786331  -60.431754   115.167       7.617     0.312     7.441     1.619
2280790216_01  -27.750380  -62.244037   162.453       3.251    -5.751     4.199    -5.099
2280790230_01  -27.394060  -60.729315   104.894      -3.554    -3.907    -2.835    -4.463
2280790234_01  -27.037711  -60.991412   125.000      -3.540     2.510    -3.925     1.861
2280790242_01  -27.044074  -60.634513   113.871      -0.685    -1.115    -0.491    -1.219
2280790243_01  -27.328783  -61.731119   160.944      -2.813    -3.004    -2.249    -3.442
2280790244_01  -27.734163  -62.112667   169.205      -2.317     2.661    -2.733     2.221
2280790245_01  -27.763603  -60.730514    92.943       2.761     5.245     1.805     5.641
2280790248_01  -27.858764  -61.137624    97.702      -5.640    -4.284    -4.821    -5.193
