==============================================================================
==============================================================================
Wed. Nov. 4 2015                  LANDSAT 5                       Time: 01:25
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0601511035998_00062                          Path / Row - 228 / 79
Reference Image: L51CUB1088287130100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 95.7%
Rank   2 --  4.3%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
2280790094  -26.53077    -62.05828    -0.09      0.28     0.30     1 
2280790172  -26.55557    -61.96321     0.54     -0.18     0.57     2 
2280790251  -26.58005    -61.83647    -0.08      0.37     0.38     1 
2280790316  -26.60774    -62.15257    -0.11      0.21     0.24     1 
2280790334  -26.60321    -61.58317     0.12      0.29     0.32     1 
2280790393  -26.63281    -62.08909     0.02      0.25     0.25     1 
2280790394  -26.63261    -62.05745    -0.05      0.15     0.16     1 
2280790405  -26.62987    -61.70940    -0.06      0.26     0.27     1 
2280790407  -26.62928    -61.64613     0.22     -0.02     0.23     1 
2280790408  -26.62898    -61.61449    -0.11      0.21     0.23     1 
2280790415  -26.62665    -61.39305     0.04      0.25     0.25     1 
2280790416  -26.62629    -61.36141    -0.06      0.02     0.07     1 
2280790470  -26.65785    -62.02559    -0.01      0.11     0.11     1 
2280790475  -26.65668    -61.86735     0.19      0.39     0.44     1 
2280790476  -26.65642    -61.83570    -0.30      0.12     0.32     1 
2280790477  -26.65616    -61.80405    -0.33      0.13     0.36     1 
2280790478  -26.65589    -61.77241     0.15      0.12     0.20     1 
2280790479  -26.65561    -61.74076    -0.10      0.08     0.13     1 
2280790482  -26.65474    -61.64583    -0.12      0.43     0.45     1 
2280790483  -26.65443    -61.61418     0.03      0.12     0.12     1 
2280790493  -26.65100    -61.29777    -0.08      0.14     0.16     1 
2280790494  -26.65061    -61.26613     0.01      0.15     0.15     1 
2280790495  -26.65022    -61.23450    -0.04      0.24     0.24     1 
2280790496  -26.64983    -61.20286     0.08      0.20     0.22     1 
2280790539  -26.68449    -62.21532    -0.10      0.31     0.33     1 
2280790540  -26.68431    -62.18366    -0.16      0.25     0.30     1 
2280790541  -26.68412    -62.15200    -0.13      0.04     0.13     1 
2280790550  -26.68213    -61.86710    -0.14      0.03     0.15     1 
2280790552  -26.68162    -61.80379     0.07      0.33     0.34     1 
2280790556  -26.68049    -61.67718    -0.38      0.45     0.59     2 
2280790560  -26.67926    -61.55058    -0.08      0.24     0.25     1 
2280790561  -26.67893    -61.51893    -0.06      0.23     0.24     1 
2280790564  -26.67791    -61.42398     0.01     -0.49     0.49     1 
2280790565  -26.67755    -61.39233    -0.06      0.09     0.11     1 
2280790566  -26.67719    -61.36069    -0.00      0.03     0.03     1 
2280790570  -26.67567    -61.23411    -0.01     -0.03     0.03     1 
2280790575  -26.67362    -61.07590     0.06      0.05     0.08     1 
2280790614  -26.70995    -62.21514    -0.05      0.14     0.15     1 
2280790619  -26.70898    -62.05682     0.13      0.23     0.26     1 
2280790622  -26.70832    -61.96183    -0.27      0.16     0.31     1 
2280790626  -26.70734    -61.83518    -0.46      0.03     0.46     1 
2280790635  -26.70471    -61.55025     0.02     -0.02     0.03     1 
2280790640  -26.70301    -61.39198    -0.14      0.12     0.18     1 
2280790641  -26.70264    -61.36032     0.14      0.13     0.19     1 
2280790644  -26.70152    -61.26537     0.09      0.12     0.15     1 
2280790647  -26.70032    -61.17041     0.09     -0.05     0.10     1 
2280790649  -26.69949    -61.10712    -0.16     -0.35     0.38     1 
2280790654  -26.69729    -60.94888     0.15     -0.12     0.19     1 
2280790655  -26.69683    -60.91724     0.08      0.05     0.09     1 
2280790656  -26.69637    -60.88560     0.05      0.05     0.07     1 
2280790689  -26.73540    -62.21497    -0.10      0.22     0.24     1 
2280790693  -26.73465    -62.08828    -0.12      0.11     0.16     1 
2280790700  -26.73305    -61.86659    -0.36      0.08     0.37     1 
