Fri. Aug.  1, 2014             LANDSAT 5                 Time: 12:48
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L12698881            Path/Row: 228 / 079

L0R Reference Image: L51CUB1089017130100_HDF.142131741
Acquisition Date: Jan 17, 1989

Band Number:  5

GeoCover date for each WRS-2 path/row used:
Path  Row   Date
228   079   2002-11-13


Point_ID      Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                   Scan      Scan      In y      in x
                                                 Residual  Residual    dir       dir
                (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

2280790015  -26.994279  -61.203766   132.367       0.077    -4.140     0.790    -4.064
2280790017  -26.874601  -61.360264   142.327       4.949    -0.769     5.007     0.097
2280790018  -27.768497  -61.013154    97.062       2.022     5.177     1.098     5.447
2280790023  -26.681917  -61.171009   141.384      -3.318    -3.110    -2.730    -3.635
2280790029  -26.857492  -60.615167   123.614      -3.928    -1.229    -3.658    -1.888
2280790031  -27.081813  -61.563279   130.878       7.808    -5.854     8.699    -4.417
2280790033  -27.049035  -61.026289   125.072       5.656    -1.103     5.761    -0.111
2280790036  -27.650164  -60.601231    94.738       1.623    -3.704     2.238    -3.369
2280790049  -27.600987  -60.670063    97.139      -2.588     0.793    -2.686     0.336
2280790061  -27.456079  -61.257044   111.972       3.478     5.358     2.501     5.877
2280790065  -27.688125  -61.152695   101.382      -5.478     2.422    -5.813     1.441
2280790071  -27.808041  -61.212482    96.641      -5.195    -0.987    -4.946    -1.867
2280790073  -27.110783  -60.933228   119.874      -3.147    -4.385    -2.343    -4.863
2280790083  -28.084666  -61.899734   101.489      -6.958    -0.508    -6.762    -1.700
2280790084  -27.573484  -60.692821    98.315      -0.354    -0.606    -0.244    -0.658
2280790090  -27.985539  -62.261622   132.628       0.982    -2.076     1.325    -1.874
2280790097  -27.552302  -61.937598   173.672      -2.824     2.873    -3.275     2.341
2280790099  -27.200298  -61.425481   126.272       5.575    -3.554     6.103    -2.538
2280790107  -27.727974  -61.136202   100.390      -6.648     1.476    -6.803     0.308
2280790110  -27.816673  -60.714797    90.256       1.706    -0.242     1.722     0.055
2280790114  -27.400304  -60.903297   111.635       2.007    -6.268     3.059    -5.828
2280790126  -27.824585  -61.112932    96.812       1.039     4.723     0.208     4.831
2280790131  -27.727225  -60.724271    93.210      -0.768    -2.813    -0.272    -2.903
2280790133  -27.382011  -61.379538   115.924      -4.403    -5.020    -3.469    -5.703
2280790134  -27.198690  -60.652753   108.956      -0.350    -4.933     0.507    -4.921
2280790137  -27.860776  -62.330421   172.427       3.163    -2.595     3.562    -2.008
2280790140  -27.652087  -62.353898   163.140      -7.582    -1.332    -7.232    -2.621
2280790145  -27.598780  -62.363635   165.735      -0.660     4.904    -1.494     4.713
2280790146  -26.750485  -60.957280   133.879       3.697    -4.197     4.366    -3.496
2280790149  -27.584984  -60.733596    96.019      -3.486    -1.459    -3.182    -2.038
2280790154  -26.746116  -60.608752   117.495      -2.413     5.316    -3.296     4.821
2280790156  -27.495553  -60.846847   102.433       3.725    -2.592     4.117    -1.911
2280790160  -27.602904  -61.117352   105.510      -1.365     5.544    -2.301     5.225
2280790161  -27.694809  -60.778471    97.421       5.286     0.701     5.086     1.601
2280790166  -27.090360  -61.057933   124.478       6.973     6.435     5.758     7.541
2280790167  -27.594934  -60.696626    96.125      -1.509     5.190    -2.383     4.853
2280790181  -27.366008  -61.200531   117.427       3.310    -0.763     3.391    -0.180
2280790182  -27.496726  -61.861603   145.076      -4.525     3.861    -5.120     3.020
2280790187  -27.656160  -62.417441   162.028       5.603     2.390     5.104     3.320
2280790197  -27.752289  -62.109780   166.933      -4.315    -7.248    -2.998    -7.880
2280790198  -27.469500  -60.723824   101.236      -0.747     1.625    -1.017     1.472
2280790199  -27.115935  -60.657811   109.990       3.437     2.204     3.005     2.764
2280790205  -26.728304  -60.677263   128.385      -0.604     2.265    -0.987     2.127
2280790207  -26.803413  -60.478430   116.155       1.489     0.597     1.364     0.845
2280790210  -27.391730  -62.229196   171.924       6.942     4.184     6.113     5.318
2280790211  -26.786331  -60.431754   115.167      -3.452    -1.606    -3.124    -2.178
2280790216  -27.750380  -62.244037   162.453       4.211    -2.365     4.553    -1.601
2280790218  -26.569955  -62.129349   195.988      -8.851     3.114    -9.249     1.537
2280790221  -27.718068  -60.777087    96.344       8.266     0.370     8.079     1.789
2280790230  -27.394060  -60.729315   104.894       3.299    -3.810     3.908    -3.185
2280790234  -27.037711  -60.991412   125.000      -1.271     0.661    -1.366     0.432
2280790240  -26.806399  -60.433715   115.027      -2.745     1.650    -2.990     1.152
2280790242  -27.044074  -60.634513   113.871      -4.008     6.013    -4.988     5.233
2280790244  -27.734163  -62.112667   169.205       3.033     1.832     2.671     2.327
2280790248  -27.858764  -61.137624    97.702      -4.361    -3.496    -3.691    -4.195
2280790250  -27.122443  -60.594443   111.669      -1.524     1.290    -1.724     1.007
