==============================================================================
==============================================================================
Fri. Aug. 1 2014                  LANDSAT 5                       Time: 17:52
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0101408017724_00902                          Path / Row - 228 / 79
Reference Image: L51CUB1089017130100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 92.0%
Rank   2 --  8.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
2280790094  -26.53091    -62.07936    -0.67     -0.27     0.72     2 
2280790095  -26.53070    -62.04774    -0.31     -0.09     0.32     1 
2280790165  -26.55713    -62.20564    -0.47     -0.08     0.48     1 
2280790167  -26.55676    -62.14240    -0.39     -0.10     0.40     1 
2280790174  -26.55526    -61.92105    -0.24      0.00     0.24     1 
2280790252  -26.57997    -61.82593    -0.58     -0.16     0.60     2 
2280790315  -26.60805    -62.20529    -0.38     -0.30     0.49     1 
2280790316  -26.60787    -62.17366    -0.37     -0.01     0.37     1 
2280790317  -26.60768    -62.14202    -0.43     -0.15     0.46     1 
2280790319  -26.60729    -62.07875    -0.10     -0.20     0.22     1 
2280790324  -26.60617    -61.92057    -0.18     -0.05     0.19     1 
2280790325  -26.60593    -61.88894    -0.43     -0.05     0.43     1 
2280790334  -26.60342    -61.60425    -0.33     -0.10     0.34     1 
2280790391  -26.63333    -62.17347    -0.37     -0.19     0.41     1 
2280790393  -26.63295    -62.11019    -0.34     -0.01     0.34     1 
2280790394  -26.63274    -62.07854    -0.45     -0.16     0.48     1 
2280790395  -26.63254    -62.04690    -0.61     -0.27     0.67     2 
2280790397  -26.63210    -61.98362    -0.37     -0.55     0.66     2 
2280790398  -26.63187    -61.95197    -0.30     -0.23     0.38     1 
2280790409  -26.62888    -61.60394    -0.34      0.01     0.34     1 
2280790410  -26.62856    -61.57231    -0.52      0.16     0.54     2 
2280790415  -26.62689    -61.41414    -0.40     -0.18     0.44     1 
2280790416  -26.62653    -61.38250    -0.02      0.13     0.13     1 
2280790417  -26.62617    -61.35087     0.33     -0.05     0.34     1 
2280790464  -26.65914    -62.23659    -0.65     -0.21     0.69     2 
2280790471  -26.65778    -62.01504    -0.66     -0.18     0.69     2 
2280790473  -26.65733    -61.95174    -0.16      0.17     0.24     1 
2280790474  -26.65709    -61.92009    -0.58      0.03     0.58     2 
2280790476  -26.65659    -61.85680    -0.31     -0.24     0.39     1 
2280790479  -26.65580    -61.76186    -0.29     -0.11     0.31     1 
2280790483  -26.65464    -61.63528    -0.25     -0.13     0.28     1 
2280790484  -26.65433    -61.60363    -0.15     -0.03     0.16     1 
2280790487  -26.65337    -61.50871    -0.07     -0.13     0.15     1 
2280790493  -26.65125    -61.31887    -0.11      0.09     0.15     1 
2280790494  -26.65087    -61.28723    -0.32      0.09     0.33     1 
2280790495  -26.65048    -61.25559     0.12     -0.13     0.18     1 
2280790496  -26.65009    -61.22395    -0.09      0.22     0.24     1 
2280790497  -26.64970    -61.19232     0.02      0.08     0.08     1 
2280790542  -26.68406    -62.14145    -0.51     -0.44     0.67     2 
2280790543  -26.68386    -62.10979    -0.62     -0.07     0.62     2 
2280790544  -26.68366    -62.07813    -0.45     -0.29     0.54     2 
2280790550  -26.68230    -61.88820    -0.49      0.08     0.50     2 
2280790551  -26.68205    -61.85654    -0.51     -0.42     0.66     2 
2280790552  -26.68179    -61.82489    -0.66      0.23     0.70     2 
2280790553  -26.68153    -61.79324    -0.30      0.08     0.31     1 
2280790555  -26.68097    -61.72993    -0.27     -0.22     0.34     1 
2280790557  -26.68039    -61.66663    -0.23     -0.14     0.27     1 
2280790558  -26.68009    -61.63498    -0.04     -0.16     0.17     1 
2280790559  -26.67979    -61.60332    -0.21     -0.10     0.23     1 
2280790561  -26.67915    -61.54002    -0.24      0.04     0.25     1 
2280790563  -26.67848    -61.47673    -0.24      0.22     0.33     1 
2280790564  -26.67814    -61.44508    -0.56      0.12     0.58     2 
