Sat. Feb. 21, 2015             LANDSAT 5                 Time: 20:08
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L14948866            Path/Row: 228 / 079

L0R Reference Image: L51CUB1010203130100_HDF.150521828
Acquisition Date: Jul 22, 2010

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
228   079   11-13-2002


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

2280790010_01  -26.688042  -61.315914   147.937      -2.443     2.238    -2.792     1.782
2280790017_01  -26.874601  -61.360264   142.327      -1.840    -0.448    -1.735    -0.758
2280790029_01  -26.857492  -60.615167   123.614       3.894     2.163     3.466     2.804
2280790031_01  -27.081813  -61.563279   130.878       4.297    -1.436     4.478    -0.673
2280790033_01  -27.049035  -61.026289   125.072       6.128    -1.442     6.286    -0.363
2280790034_01  -27.507745  -61.168775   107.527       6.456    -1.913     6.690    -0.771
2280790036_01  -27.650164  -60.601231    94.738      -3.182    -4.096    -2.423    -4.583
2280790038_01  -27.452620  -62.046627   171.226      -0.073    -4.177     0.645    -4.125
2280790039_01  -27.459576  -62.074194   171.968       6.159     3.573     5.444     4.579
2280790043_01  -27.096789  -60.695113   114.096      -6.571    -0.790    -6.333    -1.910
2280790044_01  -28.079942  -62.406926   108.359       0.462     5.796    -0.547     5.784
2280790046_01  -27.462183  -61.690434   132.777       0.723     2.836     0.222     2.917
2280790049_01  -27.600987  -60.670063    97.139      -2.038    -3.323    -1.430    -3.624
2280790051_01  -27.310153  -60.815281   109.122      -1.594     0.432    -1.641     0.151
2280790060_01  -27.575251  -61.217182   106.115       3.423    -1.496     3.630    -0.883
2280790061_01  -27.456079  -61.257044   111.972      -4.839     1.827    -5.080     0.965
2280790065_01  -27.688125  -61.152695   101.382       1.134    -1.017     1.294    -0.806
2280790066_01  -27.872263  -60.656058    91.000      -0.846    -0.626    -0.721    -0.762
2280790067_01  -27.558331  -61.065558   106.659      -1.697     2.411    -2.086     2.083
2280790070_01  -26.664118  -61.176718   143.821       2.943    -1.247     3.114    -0.720
