==============================================================================
==============================================================================
Sun. Feb. 22 2015                  LANDSAT 5                       Time: 02:17
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0601502211844_00118                          Path / Row - 228 / 79
Reference Image: L51CUB1010203130100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 95.9%
Rank   2 --  4.1%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
2280790093  -26.52572    -62.11523     0.34      0.29     0.45     1 
2280790094  -26.52552    -62.08301     0.33     -0.21     0.39     1 
2280790095  -26.52530    -62.05080     0.09     -0.27     0.29     1 
2280790168  -26.55118    -62.11503     0.38     -0.40     0.55     2 
2280790171  -26.55054    -62.01837     0.43     -0.07     0.43     1 
2280790173  -26.55009    -61.95392    -0.06     -0.06     0.08     1 
2280790242  -26.57683    -62.14707     0.31      0.07     0.32     1 
2280790244  -26.57643    -62.08261     0.09     -0.40     0.41     1 
2280790248  -26.57554    -61.95369    -0.09     -0.11     0.14     1 
2280790253  -26.57427    -61.79256    -0.05     -0.13     0.14     1 
2280790254  -26.57399    -61.76033     0.06      0.03     0.07     1 
2280790255  -26.57371    -61.72810    -0.05     -0.09     0.11     1 
2280790334  -26.59795    -61.59890     0.07      0.04     0.08     1 
2280790390  -26.62813    -62.21118    -0.05      0.51     0.51     2 
2280790401  -26.62571    -61.85650     0.03     -0.03     0.04     1 
2280790408  -26.62372    -61.63083     0.08     -0.04     0.09     1 
2280790409  -26.62341    -61.59859     0.01     -0.03     0.03     1 
2280790410  -26.62309    -61.56635     0.12     -0.14     0.19     1 
2280790411  -26.62276    -61.53411     0.07     -0.08     0.10     1 
2280790413  -26.62208    -61.46964     0.16     -0.30     0.34     1 
2280790466  -26.65340    -62.17876     0.14     -0.13     0.19     1 
2280790471  -26.65238    -62.01750    -0.16     -0.22     0.28     1 
2280790473  -26.65192    -61.95300    -0.00     -0.07     0.07     1 
2280790475  -26.65143    -61.88850    -0.25     -0.16     0.30     1 
2280790476  -26.65117    -61.85625     0.02     -0.55     0.55     2 
2280790484  -26.64886    -61.59828    -0.04      0.17     0.17     1 
2280790485  -26.64854    -61.56603     0.14      0.05     0.15     1 
2280790489  -26.64718    -61.43706    -0.05     -0.09     0.10     1 
2280790492  -26.64608    -61.34034     0.12      0.23     0.26     1 
2280790493  -26.64570    -61.30810     0.14      0.17     0.22     1 
2280790494  -26.64532    -61.27586     0.02      0.15     0.15     1 
2280790495  -26.64492    -61.24362     0.10     -0.03     0.11     1 
2280790541  -26.67886    -62.17857    -0.06     -0.22     0.23     1 
2280790544  -26.67827    -62.08180    -0.30     -0.14     0.32     1 
2280790547  -26.67761    -61.98502     0.12     -0.17     0.21     1 
2280790548  -26.67738    -61.95276     0.06     -0.16     0.17     1 
2280790552  -26.67637    -61.82374    -0.00     -0.24     0.24     1 
2280790556  -26.67524    -61.69472    -0.34     -0.30     0.45     1 
2280790563  -26.67299    -61.46896    -0.06      0.04     0.07     1 
2280790568  -26.67115    -61.30772    -0.00      0.08     0.08     1 
2280790570  -26.67037    -61.24323    -0.09     -0.03     0.09     1 
2280790573  -26.66914    -61.14650    -0.18     -0.06     0.19     1 
2280790575  -26.66829    -61.08201     0.14      0.06     0.15     1 
2280790614  -26.70468    -62.24292    -0.04      0.41     0.41     1 
2280790618  -26.70393    -62.11386     0.32     -0.25     0.40     1 
2280790619  -26.70373    -62.08159     0.22     -0.03     0.22     1 
2280790621  -26.70329    -62.01706    -0.03     -0.13     0.13     1 
2280790625  -26.70234    -61.88800     0.40     -0.40     0.57     2 
2280790632  -26.70039    -61.66217    -0.04     -0.01     0.04     1 
2280790633  -26.70009    -61.62991     0.32     -0.22     0.39     1 
2280790634  -26.69977    -61.59765     0.22     -0.08     0.23     1 
2280790635  -26.69945    -61.56540     0.24     -0.12     0.27     1 
2280790638  -26.69844    -61.46862     0.06     -0.01     0.06     1 
