Sat. Feb. 21, 2015             LANDSAT 5                 Time: 20:29
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L14948947            Path/Row: 228 / 079

L0R Reference Image: L51CUB1010299130100_HDF.150521824
Acquisition Date: Oct 26, 2010

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
228   079   11-13-2002


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

2280790010_01  -26.688042  -61.315914   147.937       2.926     0.119     2.861     0.621
2280790013_01  -27.424214  -61.199892   111.065       0.146    -1.291     0.366    -1.246
2280790028_01  -27.353943  -61.435140   116.223       3.728    -1.660     3.957    -0.994
2280790029_01  -26.857492  -60.615167   123.614       0.129     2.880    -0.368     2.859
2280790036_01  -27.650164  -60.601231    94.738       0.138    -2.903     0.636    -2.837
2280790042_01  -26.800541  -61.131090   136.250      -3.465    -2.535    -2.976    -3.093
2280790045_01  -27.826701  -61.782640   142.637      -5.825     4.102    -6.440     3.037
2280790049_01  -27.600987  -60.670063    97.139       1.959     4.260     1.196     4.534
2280790066_01  -27.872263  -60.656058    91.000      -0.983    -2.922    -0.464    -3.047
2280790071_01  -27.808041  -61.212482    96.641      -3.428     3.611    -3.997     2.967
2280790079_01  -27.228252  -61.184578   121.802      -4.105    -4.673    -3.238    -5.309
2280790083_01  -28.084666  -61.899734   101.489      -0.775    -7.233     0.480    -7.255
2280790084_01  -27.573484  -60.692821    98.315       0.097    -3.811     0.753    -3.738
2280790087_01  -27.302154  -61.635327   151.547      -1.412    -6.145    -0.334    -6.294
2280790090_01  -27.985539  -62.261622   132.628      -2.887    -4.864    -2.007    -5.285
2280790099_01  -27.200298  -61.425481   126.272      -3.624    -0.699    -3.448    -1.311
2280790108_01  -26.769752  -60.458063   114.300       2.147     1.113     1.924     1.466
2280790110_01  -27.816673  -60.714797    90.256      -3.376     2.330    -3.727     1.716
2280790113_01  -27.801817  -62.291800   162.820      -3.667     0.703    -3.731     0.060
2280790116_01  -27.738040  -61.353303   100.000       4.638     5.064     3.696     5.785
2280790130_01  -27.732248  -60.817568    97.836       0.479    -0.661     0.586    -0.568
2280790131_01  -27.727225  -60.724271    93.210       6.220     3.063     5.600     4.086
2280790135_01  -26.667064  -61.282766   147.985      -2.040     6.522    -3.132     6.072
2280790137_01  -27.860776  -62.330421   172.427      -2.255    -2.803    -1.739    -3.147
2280790146_01  -26.750485  -60.957280   133.879       0.215     0.433     0.137     0.464
2280790149_01  -27.584984  -60.733596    96.019       3.001    -3.755     3.603    -3.183
2280790150_01  -27.654179  -62.283629   163.380       2.353     3.877     1.650     4.221
2280790151_01  -27.504172  -60.708538    99.000      -5.363    -3.239    -4.725    -4.112
2280790167_01  -27.594934  -60.696626    96.125       1.623    -2.748     2.072    -2.428
2280790181_01  -27.366008  -61.200531   117.427       4.589     3.140     3.979     3.882
2280790186_01  -27.429399  -61.081162   112.533       1.703    -5.109     2.557    -4.739
2280790187_01  -27.656160  -62.417441   162.028       6.102     4.259     5.274     5.243
2280790194_01  -27.685950  -60.904859   102.738       4.872     4.816     3.970     5.582
2280790197_01  -27.752289  -62.109780   166.933      -0.852    -2.707    -0.374    -2.812
2280790198_01  -27.469500  -60.723824   101.236      -6.910    -4.685    -6.000    -5.803
2280790207_01  -26.803413  -60.478430   116.155       1.609    -0.269     1.632     0.012
2280790211_01  -26.786331  -60.431754   115.167       0.880     0.652     0.755     0.794
2280790213_01  -27.713694  -61.182079   101.793       2.609     5.114     1.690     5.485
2280790219_01  -26.711516  -61.378287   147.945       3.191    -0.206     3.178     0.347
2280790233_01  -27.572541  -62.000918   175.956       2.962     4.440     2.153     4.880
2280790235_01  -27.778417  -62.270638   161.900       2.880    -1.310     3.059    -0.794
2280790239_01  -26.802970  -60.453702   115.493      -0.923     2.114    -1.273     1.924
2280790240_01  -26.806399  -60.433715   115.027      -2.553    -0.443    -2.438    -0.875
2280790244_01  -27.734163  -62.112667   169.205      -1.968     4.058    -2.635     3.656
2280790245_01  -27.763603  -60.730514    92.943      -1.306     5.663    -2.261     5.354
2280790249_01  -26.726182  -61.335256   147.372      -3.426    -5.601    -2.410    -6.105
