==============================================================================
==============================================================================
Sun. Feb. 22 2015                  LANDSAT 5                       Time: 02:38
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0601502211844_00197                          Path / Row - 228 / 79
Reference Image: L51CUB1010299130100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 65.7%
Rank   2 -- 32.2%
Rank   3 --  2.1%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
2280790093  -26.53408    -62.15431    -0.54     -0.05     0.54     2 
2280790094  -26.53389    -62.12209    -0.20     -0.24     0.32     1 
2280790174  -26.55826    -61.96078    -0.29      0.08     0.30     1 
2280790241  -26.58537    -62.21840    -0.09      0.10     0.13     1 
2280790245  -26.58460    -62.08947     0.12     -0.38     0.40     1 
2280790247  -26.58418    -62.02501    -0.10     -0.01     0.10     1 
2280790248  -26.58395    -61.99278     0.04      0.05     0.07     1 
2280790249  -26.58372    -61.96055    -0.19     -0.10     0.22     1 
2280790255  -26.58218    -61.76717    -0.23      0.31     0.39     1 
2280790328  -26.60818    -61.83137    -0.13     -0.10     0.16     1 
2280790332  -26.60706    -61.70243    -0.02      0.35     0.35     1 
2280790334  -26.60646    -61.63796    -0.16      0.13     0.21     1 
2280790335  -26.60615    -61.60573    -0.19     -0.02     0.19     1 
2280790399  -26.63464    -61.96009     0.88     -0.22     0.91     2 
2280790403  -26.63363    -61.83111    -0.07     -0.30     0.31     1 
2280790409  -26.63191    -61.63766    -0.10     -0.39     0.40     1 
2280790410  -26.63160    -61.60542    -0.06      0.00     0.06     1 
2280790412  -26.63095    -61.54094    -0.28     -0.25     0.37     1 
2280790467  -26.66157    -62.18563     0.23     -0.05     0.24     1 
2280790472  -26.66055    -62.02436     0.04      0.01     0.04     1 
2280790477  -26.65935    -61.86310     0.18      0.43     0.46     1 
2280790478  -26.65909    -61.83085     0.38     -0.34     0.51     2 
2280790480  -26.65855    -61.76635    -0.15     -0.28     0.32     1 
2280790484  -26.65737    -61.63736     0.41     -0.15     0.44     1 
2280790485  -26.65705    -61.60511    -0.08      0.07     0.10     1 
2280790486  -26.65673    -61.57286    -0.14      0.01     0.14     1 
2280790491  -26.65502    -61.41164    -0.08     -0.15     0.17     1 
2280790494  -26.65391    -61.31491    -0.27     -0.23     0.35     1 
2280790495  -26.65352    -61.28267     0.24      0.35     0.42     1 
2280790496  -26.65313    -61.25043     0.11      0.02     0.11     1 
2280790543  -26.68684    -62.15319     0.19     -0.17     0.26     1 
2280790544  -26.68664    -62.12093     0.25     -0.24     0.34     1 
2280790545  -26.68644    -62.08866     0.19     -0.25     0.32     1 
2280790552  -26.68481    -61.86285     0.39     -0.03     0.39     1 
2280790557  -26.68343    -61.70156     0.31      0.20     0.37     1 
2280790558  -26.68313    -61.66931     0.24      0.08     0.25     1 
2280790559  -26.68282    -61.63705    -0.18     -0.02     0.18     1 
2280790560  -26.68251    -61.60480     0.22      0.25     0.34     1 
2280790561  -26.68219    -61.57254    -0.19     -0.08     0.20     1 
2280790564  -26.68118    -61.47579    -0.12      0.11     0.17     1 
2280790567  -26.68011    -61.37903    -0.04      0.07     0.08     1 
2280790569  -26.67936    -61.31453    -0.00      0.09     0.09     1 
2280790570  -26.67897    -61.28229    -0.09      0.27     0.28     1 
2280790619  -26.71210    -62.12073     0.06     -0.14     0.16     1 
2280790621  -26.71169    -62.05620     0.50      0.04     0.50     2 
2280790622  -26.71147    -62.02393     0.33     -0.36     0.49     1 
2280790623  -26.71124    -61.99166     0.12     -0.08     0.14     1 
2280790624  -26.71101    -61.95939     0.15     -0.14     0.21     1 
2280790625  -26.71077    -61.92713     0.22     -0.11     0.25     1 
2280790632  -26.70888    -61.70128     0.48      0.81     0.94     2 
2280790636  -26.70764    -61.57223    -0.00     -0.08     0.08     1 
2280790640  -26.70629    -61.44319     0.14     -0.08     0.16     1 
2280790641  -26.70593    -61.41093     0.11      0.01     0.11     1 
