Wed. Apr.  9, 2014             LANDSAT 5                 Time: 15:48
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L10848281            Path/Row: 228 / 079

L0R Reference Image: L51CUB1011014130100_HDF.140992042
Acquisition Date: Jan 14, 2011

Band Number:  5

GeoCover date for each WRS-2 path/row used:
Path  Row   Date
228   079   2002-11-13


Point_ID      Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                   Scan      Scan      In y      in x
                                                 Residual  Residual    dir       dir
                (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

2280790010  -26.688042  -61.315914   147.937       3.307     6.932     2.058     7.397
2280790017  -26.874601  -61.360264   142.327      -1.170     1.519    -1.415     1.294
2280790023  -26.681917  -61.171009   141.384      -4.537     0.390    -4.535    -0.400
2280790028  -27.353943  -61.435140   116.223       2.217     2.957     1.672     3.295
2280790036  -27.650164  -60.601231    94.738      -0.272    -3.249     0.294    -3.248
2280790049  -27.600987  -60.670063    97.139       2.689    -1.556     2.918    -1.069
2280790067  -27.558331  -61.065558   106.659       5.407     5.295     4.409     6.148
2280790073  -27.110783  -60.933228   119.874       3.557    -2.336     3.908    -1.686
2280790076  -27.669483  -61.217784   103.749       4.433     1.873     4.042     2.610
2280790083  -28.084666  -61.899734   101.489       6.213    -4.727     6.932    -3.580
2280790084  -27.573484  -60.692821    98.315       0.966    -1.201     1.160    -1.017
2280790086  -27.172733  -60.911503   118.760       5.823     4.415     4.972     5.354
2280790089  -27.356617  -60.707643   104.112      -4.445    -0.124    -4.357    -0.889
2280790090  -27.985539  -62.261622   132.628      -1.242     1.454    -1.473     1.216
2280790096  -27.658733  -62.011389   152.160      -4.155     4.649    -4.893     3.858
2280790104  -27.790586  -62.007154   135.415      -4.292    -2.790    -3.743    -3.488
2280790109  -27.314690  -61.460550   118.711       0.997    -4.907     1.830    -4.660
2280790110  -27.816673  -60.714797    90.256       1.072     1.814     0.743     1.972
2280790112  -27.951579  -61.850769   119.826      -6.203    -2.145    -5.736    -3.183
2280790120  -26.954135  -60.978696   127.812      -3.534    -2.567    -3.037    -3.139
2280790126  -27.824585  -61.112932    96.812      -2.516     4.151    -3.195     3.654
2280790130  -27.732248  -60.817568    97.836      -1.180    -0.673    -1.045    -0.866
2280790131  -27.727225  -60.724271    93.210      -3.751     4.561    -4.483     3.846
2280790137  -27.860776  -62.330421   172.427      -0.845     0.034    -0.838    -0.113
2280790146  -26.750485  -60.957280   133.879      -1.332     0.717    -1.436     0.476
2280790149  -27.584984  -60.733596    96.019      -0.592     2.120    -0.949     1.986
2280790150  -27.654179  -62.283629   163.380       2.123     2.327     1.688     2.658
2280790151  -27.504172  -60.708538    99.000      -3.882    -0.553    -3.727    -1.215
2280790153  -26.725884  -61.920350   190.000      -2.568    -0.673    -2.412    -1.107
2280790164  -27.525766  -61.377131   108.371       5.838    -0.868     5.899     0.154
2280790167  -27.594934  -60.696626    96.125       2.015     1.363     1.749     1.690
2280790178  -27.055218  -61.557872   131.816       1.063    -1.074     1.232    -0.874
2280790179  -27.786700  -60.735818    94.001       4.804    -0.512     4.820     0.325
2280790181  -27.366008  -61.200531   117.427       4.864     0.333     4.732     1.168
2280790184  -27.353848  -60.753785   103.903      -3.494    -6.549    -2.308    -7.054
2280790186  -27.429399  -61.081162   112.533       1.369    -4.785     2.175    -4.476
2280790187  -27.656160  -62.417441   162.028      -1.082     2.027    -1.415     1.808
2280790198  -27.469500  -60.723824   101.236      -5.206    -5.373    -4.198    -6.191
2280790207  -26.803413  -60.478430   116.155       3.284     3.580     2.616     4.094
2280790211  -26.786331  -60.431754   115.167       0.850    -0.641     0.949    -0.484
2280790217  -26.962993  -61.069793   126.454       0.778    -6.403     1.873    -6.171
2280790219  -26.711516  -61.378287   147.945       2.176     0.581     2.043     0.949
2280790221  -27.718068  -60.777087    96.344      -5.189     3.467    -5.710     2.520
2280790229  -27.014122  -61.437155   133.699      -1.121    -2.142    -0.734    -2.303
2280790234  -27.037711  -60.991412   125.000      -0.911    -4.696    -0.085    -4.782
2280790239  -26.802970  -60.453702   115.493      -1.595     3.340    -2.149     3.015
2280790240  -26.806399  -60.433715   115.027      -1.794     3.113    -2.306     2.757
2280790244  -27.734163  -62.112667   169.205       1.854    -1.476     2.080    -1.132
2280790245  -27.763603  -60.730514    92.943      -0.192     3.785    -0.843     3.695
2280790248  -27.858764  -61.137624    97.702      -0.369     0.522    -0.453     0.450
2280790250  -27.122443  -60.594443   111.669      -0.237    -5.128     0.654    -5.092
