==============================================================================
==============================================================================
Wed. Apr. 9 2014                  LANDSAT 5                       Time: 20:52
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0101404070369_00178                          Path / Row - 228 / 79
Reference Image: L51CUB1011014130100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 95.8%
Rank   2 --  4.2%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
2280790093  -26.53661    -62.12418     0.24     -0.47     0.53     2 
2280790173  -26.56099    -61.96286     0.30     -0.13     0.33     1 
2280790240  -26.58809    -62.22049    -0.07     -0.20     0.21     1 
2280790246  -26.58690    -62.02710    -0.02      0.09     0.09     1 
2280790247  -26.58667    -61.99486     0.40     -0.12     0.41     1 
2280790248  -26.58644    -61.96263     0.06     -0.23     0.24     1 
2280790316  -26.61337    -62.18808    -0.62      0.10     0.63     2 
2280790333  -26.60919    -61.64004     0.24      0.02     0.24     1 
2280790334  -26.60887    -61.60780     0.03     -0.01     0.03     1 
2280790398  -26.63736    -61.96217     0.32     -0.26     0.41     1 
2280790402  -26.63636    -61.83319     0.11     -0.28     0.30     1 
2280790408  -26.63464    -61.63974     0.06     -0.27     0.28     1 
2280790409  -26.63433    -61.60749     0.19     -0.05     0.19     1 
2280790410  -26.63401    -61.57525     0.03     -0.04     0.05     1 
2280790411  -26.63368    -61.54301    -0.09     -0.13     0.16     1 
2280790412  -26.63335    -61.51078    -0.08      0.17     0.19     1 
2280790413  -26.63301    -61.47854    -0.04     -0.09     0.10     1 
2280790415  -26.63230    -61.41406     0.14      0.00     0.14     1 
2280790471  -26.66327    -62.02645    -0.09     -0.13     0.16     1 
2280790472  -26.66305    -61.99419     0.09      0.06     0.11     1 
2280790473  -26.66282    -61.96194     0.25      0.04     0.26     1 
2280790477  -26.66182    -61.83293     0.45     -0.30     0.54     2 
2280790483  -26.66009    -61.63943     0.21     -0.11     0.24     1 
2280790485  -26.65946    -61.57494    -0.10     -0.18     0.21     1 
2280790490  -26.65776    -61.41371     0.17      0.02     0.17     1 
2280790495  -26.65586    -61.25249    -0.06      0.05     0.08     1 
2280790542  -26.68956    -62.15528     0.01     -0.33     0.33     1 
2280790543  -26.68936    -62.12302     0.03     -0.22     0.23     1 
2280790544  -26.68916    -62.09075     0.06     -0.48     0.48     1 
2280790552  -26.68727    -61.83267     0.10     -0.06     0.11     1 
2280790557  -26.68586    -61.67139     0.17     -0.03     0.17     1 
2280790558  -26.68555    -61.63913     0.19      0.04     0.19     1 
2280790559  -26.68524    -61.60688     0.43      0.02     0.43     1 
2280790560  -26.68492    -61.57462    -0.09     -0.13     0.16     1 
2280790563  -26.68391    -61.47786     0.02     -0.07     0.08     1 
2280790566  -26.68284    -61.38110     0.04      0.03     0.05     1 
2280790568  -26.68209    -61.31660     0.13      0.18     0.22     1 
2280790569  -26.68171    -61.28435     0.05      0.09     0.10     1 
2280790571  -26.68091    -61.21986     0.27      0.10     0.28     1 
2280790573  -26.68009    -61.15536    -0.20      0.00     0.20     1 
2280790624  -26.71349    -61.92921     0.04     -0.13     0.14     1 
2280790631  -26.71161    -61.70336     0.15     -0.35     0.38     1 
2280790632  -26.71131    -61.67109     0.03      0.03     0.05     1 
2280790634  -26.71069    -61.60657    -0.09     -0.04     0.10     1 
2280790635  -26.71037    -61.57431    -0.08     -0.15     0.17     1 
2280790636  -26.71004    -61.54204     0.17      0.07     0.19     1 
2280790640  -26.70866    -61.41300    -0.06      0.05     0.08     1 
2280790641  -26.70829    -61.38074     0.00     -0.14     0.14     1 
2280790642  -26.70792    -61.34849     0.05      0.09     0.11     1 
2280790645  -26.70676    -61.25172     0.26      0.14     0.29     1 
2280790646  -26.70636    -61.21946    -0.03     -0.09     0.09     1 
2280790648  -26.70554    -61.15495    -0.04      0.11     0.12     1 
2280790649  -26.70511    -61.12270     0.19      0.14     0.23     1 
