Tue. Oct.  7, 2014             LANDSAT 5                 Time: 01:12
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L13854241            Path/Row: 228 / 079

L0R Reference Image: L51CUB1011078130100_HDF.142800547
Acquisition Date: Mar 19, 2011

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
228   079   11-13-2002


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

2280790010_01  -26.688042  -61.315914   147.937      -0.669     4.290    -1.400     4.109
2280790017_01  -26.874601  -61.360264   142.327      -2.901    -2.877    -2.359    -3.334
2280790023_01  -26.681917  -61.171009   141.384       2.796    -1.158     2.954    -0.657
2280790029_01  -26.857492  -60.615167   123.614      -1.968    -0.011    -1.937    -0.351
2280790031_01  -27.081813  -61.563279   130.878       5.757    -5.713     6.655    -4.630
2280790036_01  -27.650164  -60.601231    94.738      -4.087    -3.814    -3.365    -4.462
2280790049_01  -27.600987  -60.670063    97.139       1.951    -2.639     2.378    -2.263
2280790061_01  -27.456079  -61.257044   111.972      -1.727     3.310    -2.273     2.961
2280790067_01  -27.558331  -61.065558   106.659      -0.554     2.333    -0.949     2.202
2280790071_01  -27.808041  -61.212482    96.641      -2.037    -0.724    -1.881    -1.064
2280790077_01  -27.596603  -60.868881   101.605      -0.534     0.049    -0.534    -0.044
2280790079_01  -27.228252  -61.184578   121.802       1.629    -5.050     2.477    -4.692
2280790084_01  -27.573484  -60.692821    98.315       1.743    -0.647     1.829    -0.336
2280790086_01  -27.172733  -60.911503   118.760      -0.323     2.649    -0.775     2.553
2280790090_01  -27.985539  -62.261622   132.628       2.658     2.429     2.197     2.851
2280790099_01  -27.200298  -61.425481   126.272       7.020    -0.199     6.947     1.016
2280790108_01  -26.769752  -60.458063   114.300      -0.817    -1.835    -0.486    -1.949
2280790110_01  -27.816673  -60.714797    90.256      -3.226    -1.802    -2.866    -2.331
2280790113_01  -27.801817  -62.291800   162.820      -0.573    -4.403     0.195    -4.433
2280790121_01  -26.594437  -62.193035   192.526      -2.687     2.849    -3.137     2.339
2280790126_01  -27.824585  -61.112932    96.812      -1.586     0.850    -1.708     0.564
2280790130_01  -27.732248  -60.817568    97.836       0.356     1.973     0.010     2.005
2280790131_01  -27.727225  -60.724271    93.210       4.009     5.992     2.914     6.595
2280790140_01  -27.652087  -62.353898   163.140      -0.643     2.486    -1.062     2.336
2280790142_01  -27.848448  -62.072131   155.520      -4.713     0.633    -4.749    -0.191
2280790149_01  -27.584984  -60.733596    96.019       1.370     3.010     0.829     3.202
2280790150_01  -27.654179  -62.283629   163.380      -6.189     1.016    -6.267    -0.070
2280790156_01  -27.495553  -60.846847   102.433       3.500    -3.569     4.065    -2.911
2280790166_01  -27.090360  -61.057933   124.478      -1.502    -1.713    -1.183    -1.946
2280790167_01  -27.594934  -60.696626    96.125       2.023     1.595     1.717     1.920
2280790168_01  -27.755156  -60.694478    91.696       1.962    -0.997     2.106    -0.643
2280790177_01  -27.745607  -60.722672    92.431       0.867     3.381     0.270     3.481
2280790179_01  -27.786700  -60.735818    94.001      -4.941    -3.499    -4.261    -4.299
2280790181_01  -27.366008  -61.200531   117.427       3.794     2.512     3.302     3.130
2280790187_01  -27.656160  -62.417441   162.028       1.035     2.364     0.611     2.505
2280790207_01  -26.803413  -60.478430   116.155       0.698     1.734     0.389     1.829
2280790211_01  -26.786331  -60.431754   115.167      -0.518    -0.157    -0.482    -0.244
2280790219_01  -26.711516  -61.378287   147.945      -2.276     2.351    -2.647     1.921
2280790221_01  -27.718068  -60.777087    96.344      -3.025    -0.819    -2.837    -1.328
2280790229_01  -27.014122  -61.437155   133.699       4.237    -2.924     4.677    -2.147
2280790234_01  -27.037711  -60.991412   125.000      -3.746    -3.931    -3.010    -4.518
2280790239_01  -26.802970  -60.453702   115.493      -2.788     2.648    -3.205     2.127
2280790240_01  -26.806399  -60.433715   115.027      -3.178     1.163    -3.331     0.597
2280790244_01  -27.734163  -62.112667   169.205       3.940    -4.668     4.683    -3.915
2280790247_01  -27.544417  -61.019632   105.090      -2.351    -0.168    -2.286    -0.571
2280790248_01  -27.858764  -61.137624    97.702       1.582     2.024     1.209     2.266
2280790250_01  -27.122443  -60.594443   111.669       6.626    -0.180     6.558     0.966
