==============================================================================
==============================================================================
Tue. Oct. 7 2014                  LANDSAT 5                       Time: 06:20
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0601410068931_00032                          Path / Row - 228 / 79
Reference Image: L51CUB1011078130100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 95.6%
Rank   2 --  4.4%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
2280790173  -26.55819    -61.95084     0.43     -0.03     0.43     1 
2280790253  -26.58237    -61.78946     0.18      0.15     0.24     1 
2280790255  -26.58181    -61.72500     0.34     -0.13     0.37     1 
2280790334  -26.60605    -61.59579     0.19     -0.05     0.20     1 
2280790391  -26.63605    -62.17587     0.32     -0.12     0.34     1 
2280790398  -26.63456    -61.95014     0.46     -0.30     0.55     2 
2280790408  -26.63182    -61.62772     0.24      0.09     0.26     1 
2280790409  -26.63150    -61.59548     0.16      0.07     0.18     1 
2280790410  -26.63118    -61.56323     0.28     -0.13     0.30     1 
2280790411  -26.63085    -61.53100     0.07     -0.20     0.21     1 
2280790412  -26.63051    -61.49876     0.30     -0.14     0.33     1 
2280790471  -26.66048    -62.01441     0.18     -0.07     0.19     1 
2280790474  -26.65978    -61.91766     0.38      0.15     0.41     1 
2280790475  -26.65953    -61.88540     0.43      0.32     0.53     2 
2280790476  -26.65927    -61.85316     0.06     -0.23     0.24     1 
2280790483  -26.65727    -61.62741     0.50     -0.36     0.62     2 
2280790484  -26.65696    -61.59516     0.21      0.10     0.23     1 
2280790485  -26.65663    -61.56292     0.19     -0.21     0.29     1 
2280790489  -26.65527    -61.43394     0.15     -0.01     0.15     1 
2280790491  -26.65455    -61.36945     0.23     -0.02     0.23     1 
2280790492  -26.65417    -61.33721     0.18      0.04     0.19     1 
2280790493  -26.65379    -61.30497     0.05      0.14     0.15     1 
2280790494  -26.65340    -61.27272    -0.00      0.06     0.06     1 
2280790495  -26.65301    -61.24048     0.08     -0.02     0.08     1 
2280790497  -26.65219    -61.17600    -0.12     -0.16     0.20     1 
2280790541  -26.68697    -62.17550     0.22     -0.17     0.28     1 
2280790542  -26.68678    -62.14324     0.22     -0.15     0.26     1 
2280790543  -26.68658    -62.11098     0.14     -0.15     0.21     1 
2280790544  -26.68637    -62.07872     0.30     -0.17     0.34     1 
2280790547  -26.68571    -61.98194     0.21     -0.11     0.24     1 
2280790550  -26.68499    -61.88516    -0.30     -0.30     0.43     1 
2280790551  -26.68473    -61.85290     0.33     -0.21     0.39     1 
2280790552  -26.68446    -61.82064     0.20     -0.35     0.40     1 
2280790557  -26.68303    -61.65936     0.25     -0.02     0.25     1 
2280790563  -26.68107    -61.46584     0.28      0.02     0.28     1 
2280790564  -26.68072    -61.43359     0.02     -0.01     0.02     1 
2280790565  -26.68036    -61.40134     0.23      0.12     0.26     1 
2280790566  -26.68000    -61.36909     0.14      0.04     0.15     1 
2280790568  -26.67924    -61.30459     0.18      0.13     0.22     1 
2280790572  -26.67764    -61.17560     0.15      0.03     0.15     1 
2280790574  -26.67680    -61.11111     0.09      0.02     0.10     1 
2280790575  -26.67637    -61.07886     0.22      0.08     0.23     1 
2280790614  -26.71279    -62.23985     0.09      0.01     0.09     1 
2280790618  -26.71204    -62.11078     0.36     -0.23     0.43     1 
2280790620  -26.71162    -62.04624     0.15     -0.22     0.26     1 
2280790623  -26.71093    -61.94944     0.30     -0.15     0.34     1 
2280790624  -26.71069    -61.91718     0.08     -0.34     0.35     1 
2280790633  -26.70818    -61.62680     0.36     -0.07     0.36     1 
2280790634  -26.70786    -61.59454    -0.12      0.07     0.13     1 
2280790635  -26.70754    -61.56228     0.25      0.08     0.26     1 
2280790638  -26.70653    -61.46550     0.25     -0.13     0.28     1 
2280790639  -26.70618    -61.43324     0.11      0.01     0.11     1 
2280790640  -26.70582    -61.40098    -0.06      0.12     0.13     1 
