Thu. Apr. 17, 2014             LANDSAT 5                 Time: 09:45
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L10961798            Path/Row: 228 / 079

L0R Reference Image: L51CUB1011094130100_HDF.141071258
Acquisition Date: Apr 04, 2011

Band Number:  5

GeoCover date for each WRS-2 path/row used:
Path  Row   Date
228   079   2002-11-13


Point_ID      Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                   Scan      Scan      In y      in x
                                                 Residual  Residual    dir       dir
                (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

2280790010  -26.688042  -61.315914   147.937       0.212     2.141    -0.161     2.144
2280790017  -26.874601  -61.360264   142.327      -4.214     0.175    -4.180    -0.556
2280790018  -27.768497  -61.013154    97.062       2.111    -0.864     2.230    -0.487
2280790027  -27.255534  -60.768184   112.256      -0.742    -1.483    -0.472    -1.589
2280790029  -26.857492  -60.615167   123.614       1.047     2.696     0.569     2.837
2280790031  -27.081813  -61.563279   130.878       1.349    -2.460     1.751    -2.190
2280790036  -27.650164  -60.601231    94.738      -2.874    -4.466    -2.055    -4.894
2280790046  -27.462183  -61.690434   132.777       6.253     1.624     5.876     2.677
2280790049  -27.600987  -60.670063    97.139       0.048    -1.158     0.252    -1.132
2280790051  -27.310153  -60.815281   109.122       3.588     0.191     3.504     0.806
2280790067  -27.558331  -61.065558   106.659       1.297     3.209     0.725     3.384
2280790070  -26.664118  -61.176718   143.821       7.014     0.346     6.848     1.551
2280790077  -27.596603  -60.868881   101.605      -2.488     3.201    -3.000     2.724
2280790084  -27.573484  -60.692821    98.315       0.425    -1.047     0.604    -0.958
2280790086  -27.172733  -60.911503   118.760      -0.709     2.180    -1.072     2.025
2280790089  -27.356617  -60.707643   104.112       6.073    -6.562     7.119    -5.418
2280790090  -27.985539  -62.261622   132.628       1.786     2.271     1.364     2.542
2280790099  -27.200298  -61.425481   126.272       3.424     1.085     3.185     1.658
2280790100  -27.764390  -61.430526    96.824       2.053     3.511     1.417     3.811
2280790108  -26.769752  -60.458063   114.300      -0.451    -2.589     0.007    -2.629
2280790110  -27.816673  -60.714797    90.256      -4.332    -1.226    -4.051    -1.954
2280790113  -27.801817  -62.291800   162.820      -4.278     0.147    -4.240    -0.595
2280790115  -27.442154  -62.101962   172.499       5.163     0.019     5.076     0.908
2280790117  -28.146212  -61.811733    99.964       4.746    -5.714     5.657    -4.808
2280790125  -27.553504  -60.745482   100.292       0.538    -6.513     1.658    -6.322
2280790126  -27.824585  -61.112932    96.812      -4.764     2.337    -5.093     1.481
2280790130  -27.732248  -60.817568    97.836       1.110     4.804     0.268     4.923
2280790131  -27.727225  -60.724271    93.210       2.253     5.984     1.191     6.283
2280790137  -27.860776  -62.330421   172.427      -1.936    -3.541    -1.299    -3.820
2280790140  -27.652087  -62.353898   163.140      -2.566     4.801    -3.357     4.282
2280790149  -27.584984  -60.733596    96.019       0.711     6.564    -0.428     6.588
2280790156  -27.495553  -60.846847   102.433       0.784     1.324     0.546     1.439
2280790166  -27.090360  -61.057933   124.478      -3.460    -2.997    -2.889    -3.549
2280790167  -27.594934  -60.696626    96.125       0.675     2.036     0.317     2.123
2280790168  -27.755156  -60.694478    91.696      -0.136    -0.908     0.027    -0.918
2280790177  -27.745607  -60.722672    92.431      -0.598     2.581    -1.030     2.440
2280790181  -27.366008  -61.200531   117.427       1.845    -1.039     1.997    -0.705
2280790186  -27.429399  -61.081162   112.533      -2.567    -6.431    -1.417    -6.776
2280790187  -27.656160  -62.417441   162.028      -3.753     2.616    -4.149     1.926
2280790198  -27.469500  -60.723824   101.236      -2.835    -2.556    -2.348    -3.006
2280790199  -27.115935  -60.657811   109.990       1.101    -3.035     1.613    -2.800
2280790203  -27.374065  -61.679036   151.221      -0.494    -5.762     0.506    -5.759
2280790207  -26.803413  -60.478430   116.155      -1.844     2.793    -2.295     2.435
2280790211  -26.786331  -60.431754   115.167       0.234     0.525     0.144     0.558
2280790219  -26.711516  -61.378287   147.945      -5.417     2.615    -5.786     1.640
2280790229  -27.014122  -61.437155   133.699       0.548    -0.674     0.655    -0.570
2280790230  -27.394060  -60.729315   104.894       1.068    -6.113     2.111    -5.837
2280790234  -27.037711  -60.991412   125.000      -4.261    -3.194    -3.643    -3.881
2280790239  -26.802970  -60.453702   115.493      -1.941     2.559    -2.351     2.188
2280790240  -26.806399  -60.433715   115.027      -2.334     2.376    -2.705     1.939
2280790244  -27.734163  -62.112667   169.205      -1.208    -2.260    -0.802    -2.434
2280790245  -27.763603  -60.730514    92.943      -3.352     1.288    -3.520     0.692
2280790248  -27.858764  -61.137624    97.702       0.396     4.102    -0.315     4.107
2280790250  -27.122443  -60.594443   111.669       5.688     0.596     5.504     1.568
