==============================================================================
==============================================================================
Thu. Apr. 17 2014                  LANDSAT 5                       Time: 14:50
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0101404174524_00629                          Path / Row - 228 / 79
Reference Image: L51CUB1011094130100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 95.1%
Rank   2 --  4.9%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
2280790174  -26.55530    -61.92587     0.06      0.03     0.07     1 
2280790248  -26.58099    -61.95756     0.60     -0.18     0.63     2 
2280790254  -26.57946    -61.76599     0.59      0.19     0.62     2 
2280790255  -26.57918    -61.73407     0.22      0.11     0.25     1 
2280790334  -26.60344    -61.60606     0.39     -0.06     0.39     1 
2280790335  -26.60312    -61.57413     0.47      0.13     0.48     1 
2280790398  -26.63191    -61.95710     0.54      0.02     0.54     2 
2280790409  -26.62889    -61.60575     0.34     -0.04     0.34     1 
2280790411  -26.62825    -61.54188     0.36      0.14     0.38     1 
2280790412  -26.62792    -61.50994     0.52     -0.01     0.52     2 
2280790413  -26.62758    -61.47801     0.09     -0.39     0.40     1 
2280790415  -26.62689    -61.41414     0.16     -0.32     0.36     1 
2280790471  -26.65782    -62.02077     0.20     -0.09     0.22     1 
2280790472  -26.65759    -61.98882     0.30     -0.03     0.30     1 
2280790476  -26.65663    -61.86102     0.44      0.03     0.45     1 
2280790479  -26.65583    -61.76517     0.33     -0.25     0.42     1 
2280790480  -26.65555    -61.73323     0.34      0.02     0.34     1 
2280790484  -26.65435    -61.60544     0.23      0.02     0.23     1 
2280790485  -26.65403    -61.57350     0.34      0.17     0.38     1 
2280790488  -26.65304    -61.47767     0.32     -0.29     0.43     1 
2280790490  -26.65234    -61.41378     0.35      0.10     0.37     1 
2280790494  -26.65086    -61.28602     0.15      0.13     0.20     1 
2280790495  -26.65047    -61.25408     0.33     -0.02     0.34     1 
2280790542  -26.68410    -62.14838     0.42     -0.25     0.48     1 
2280790543  -26.68390    -62.11642     0.35     -0.25     0.43     1 
2280790552  -26.68182    -61.82881     0.25     -0.26     0.36     1 
2280790557  -26.68042    -61.66904     0.27      0.00     0.27     1 
2280790558  -26.68011    -61.63709     0.23     -0.07     0.24     1 
2280790559  -26.67980    -61.60513     0.49      0.21     0.53     2 
2280790563  -26.67849    -61.47733     0.22      0.01     0.22     1 
2280790564  -26.67815    -61.44538     0.34      0.22     0.41     1 
2280790566  -26.67743    -61.38148     0.25      0.05     0.25     1 
2280790567  -26.67706    -61.34954     0.29      0.11     0.31     1 
2280790568  -26.67669    -61.31759     0.35      0.05     0.36     1 
2280790614  -26.71010    -62.24409     0.30      0.24     0.39     1 
2280790620  -26.70895    -62.05230     0.42     -0.26     0.49     1 
2280790623  -26.70828    -61.95640     0.28     -0.17     0.32     1 
2280790624  -26.70804    -61.92444     0.54     -0.18     0.57     2 
2280790631  -26.70617    -61.70070     0.25      0.28     0.38     1 
2280790634  -26.70526    -61.60482     0.31     -0.18     0.36     1 
2280790635  -26.70494    -61.57287     0.27     -0.10     0.29     1 
2280790639  -26.70360    -61.44503     0.24     -0.07     0.25     1 
2280790640  -26.70324    -61.41308     0.17      0.04     0.18     1 
2280790641  -26.70288    -61.38112     0.31     -0.17     0.36     1 
2280790642  -26.70251    -61.34917     0.28     -0.03     0.29     1 
2280790646  -26.70097    -61.22136     0.54      0.20     0.57     2 
2280790651  -26.69888    -61.06160     0.26     -0.07     0.26     1 
2280790653  -26.69799    -60.99771     0.13      0.01     0.13     1 
2280790654  -26.69754    -60.96576     0.35     -0.01     0.35     1 
2280790655  -26.69708    -60.93382     0.17      0.21     0.27     1 
2280790689  -26.73556    -62.24393     0.01     -0.20     0.20     1 
2280790691  -26.73521    -62.17998     0.41     -0.29     0.50     2 
2280790699  -26.73350    -61.92420     0.35     -0.06     0.35     1 
2280790702  -26.73274    -61.82829     0.23     -0.25     0.34     1 
