Sun. Nov. 22, 2015             LANDSAT 5                 Time: 21:53
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L16897650            Path/Row: 230 / 077

L0R Reference Image: L51CUB1092104130100_HDF.153270029
Acquisition Date: Apr 13, 1992

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
230   077   04-14-2001


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

2300770001_01  -23.873640  -63.303702   258.883       0.283    -2.060     0.589    -1.992
2300770002_01  -23.859402  -63.986009   472.146      -0.021     4.303    -0.668     4.247
2300770005_01  -24.658821  -63.161484   271.500       2.973    -2.316     3.284    -1.844
2300770006_01  -24.746869  -64.377052   591.775       0.179     3.998    -0.421     3.975
2300770007_01  -24.903991  -64.542439   909.360      -1.589    -1.388    -1.362    -1.608
2300770009_01  -25.169874  -64.299912   452.352      -1.039    -0.156    -1.004    -0.309
2300770016_01  -23.672750  -64.244948   442.495       5.272     1.481     4.984     2.256
2300770019_01  -23.920212  -63.431445   254.734       0.245    -4.719     0.951    -4.625
2300770020_01  -24.128279  -64.198839  1140.880       0.177    -3.459     0.693    -3.387
2300770022_01  -24.629956  -64.732859   945.626      -1.011     0.609    -1.090     0.449
2300770026_01  -24.968409  -63.544699   321.451       0.014     0.659    -0.085     0.653
2300770027_01  -24.145479  -64.216419  1346.947       2.593     4.760     1.845     5.083
2300770032_01  -24.535592  -64.694252   751.462      -5.126     1.947    -5.353     1.153
2300770033_01  -24.584300  -63.333245   281.464       0.298     1.640     0.049     1.665
2300770039_01  -24.951380  -64.669297  1371.720      -0.088     6.983    -1.129     6.876
2300770040_01  -23.859995  -63.453048   259.998       0.051    -2.996     0.501    -2.952
2300770041_01  -23.940118  -64.547563   557.472       1.838     1.931     1.525     2.183
2300770048_01  -23.951403  -63.420639   257.159       0.387    -0.312     0.430    -0.250
2300770049_01  -24.471349  -63.427678   280.132      -1.948     0.211    -1.956    -0.084
2300770055_01  -24.638620  -63.630409   315.824      -1.294    -5.178    -0.503    -5.310
