==============================================================================
==============================================================================
Mon. Nov. 23 2015                  LANDSAT 5                       Time: 04:02
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0601511223829_00008                          Path / Row - 230 / 77
Reference Image: L51CUB1092104130100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 100.0%
Rank   2 --  0.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
2300770091  -23.63945    -64.57047    -0.10      0.21     0.23     1 
2300770166  -23.66437    -64.57077    -0.20      0.03     0.20     1 
2300770167  -23.66467    -64.54048     0.04      0.16     0.17     1 
2300770174  -23.66664    -64.32843    -0.03      0.07     0.08     1 
2300770175  -23.66690    -64.29813    -0.13      0.11     0.17     1 
2300770176  -23.66715    -64.26784    -0.13      0.09     0.16     1 
2300770177  -23.66739    -64.23754    -0.00      0.07     0.07     1 
2300770245  -23.69047    -64.44988    -0.12      0.06     0.14     1 
2300770249  -23.69156    -64.32868    -0.07      0.05     0.09     1 
2300770250  -23.69182    -64.29838    -0.07      0.09     0.12     1 
2300770251  -23.69207    -64.26808    -0.08      0.02     0.08     1 
2300770252  -23.69232    -64.23778    -0.09      0.09     0.13     1 
2300770253  -23.69255    -64.20748    -0.03      0.03     0.04     1 
2300770254  -23.69279    -64.17718    -0.05      0.03     0.06     1 
2300770255  -23.69301    -64.14687    -0.16      0.01     0.16     1 
2300770257  -23.69345    -64.08627    -0.08      0.09     0.12     1 
2300770316  -23.71421    -64.57137    -0.03      0.11     0.11     1 
2300770318  -23.71482    -64.51076    -0.13     -0.00     0.13     1 
2300770319  -23.71511    -64.48046    -0.05     -0.02     0.06     1 
2300770320  -23.71540    -64.45015    -0.08      0.16     0.18     1 
2300770321  -23.71568    -64.41985    -0.02      0.03     0.04     1 
2300770324  -23.71648    -64.32893    -0.06      0.08     0.10     1 
2300770325  -23.71674    -64.29863    -0.07      0.08     0.10     1 
2300770326  -23.71699    -64.26832    -0.09     -0.00     0.09     1 
2300770327  -23.71724    -64.23801    -0.06      0.06     0.09     1 
2300770328  -23.71748    -64.20771    -0.06      0.12     0.13     1 
2300770329  -23.71771    -64.17740    -0.09     -0.08     0.13     1 
2300770330  -23.71794    -64.14709    -0.14      0.09     0.16     1 
2300770332  -23.71838    -64.08647    -0.08      0.02     0.08     1 
2300770333  -23.71859    -64.05616    -0.07      0.06     0.09     1 
2300770334  -23.71879    -64.02585    -0.09      0.01     0.09     1 
2300770335  -23.71899    -63.99554    -0.15      0.09     0.17     1 
2300770336  -23.71918    -63.96523    -0.06      0.11     0.12     1 
2300770337  -23.71937    -63.93492    -0.06      0.09     0.11     1 
2300770338  -23.71955    -63.90461     0.07      0.19     0.20     1 
2300770390  -23.73882    -64.60197    -0.17      0.10     0.20     1 
2300770392  -23.73944    -64.54136    -0.14      0.20     0.24     1 
2300770394  -23.74003    -64.48074    -0.05      0.04     0.07     1 
2300770395  -23.74032    -64.45043    -0.07     -0.06     0.09     1 
2300770396  -23.74060    -64.42012    -0.06      0.04     0.07     1 
2300770397  -23.74087    -64.38981    -0.05      0.11     0.12     1 
2300770398  -23.74114    -64.35950    -0.08      0.10     0.13     1 
2300770399  -23.74141    -64.32919     0.07     -0.04     0.09     1 
2300770401  -23.74192    -64.26856    -0.06      0.07     0.10     1 
2300770402  -23.74216    -64.23825    -0.04      0.07     0.08     1 
2300770403  -23.74240    -64.20794    -0.06      0.02     0.07     1 
2300770404  -23.74264    -64.17762    -0.09      0.00     0.09     1 
2300770405  -23.74286    -64.14731    -0.12      0.03     0.12     1 
2300770406  -23.74309    -64.11699    -0.07      0.02     0.07     1 
2300770407  -23.74330    -64.08668    -0.05     -0.01     0.05     1 
2300770408  -23.74351    -64.05636    -0.01      0.09     0.09     1 
2300770409  -23.74372    -64.02605    -0.08     -0.04     0.09     1 
2300770410  -23.74392    -63.99573     0.00      0.04     0.04     1 
